source,area,iso,adm_id,id,sex,age2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DHS,Western Asia,IRQ,Anbar,1,1,5,89071,91591.5806,94112.32738,98429.01793,102788.61780000001,106923.7161,104856.1669,104048.4285,102027.6874,99945.29012,98147.19036,103644.3495,100705.3624,99604.98963,98426.09476,96856.90888,94981.85224,92807.25853,90299.75191,87422.74535,84140.06596
DHS,Western Asia,IRQ,Anbar,1,1,50,11040,10817.75014,10595.131,12042.17364,13293.53404,14107.48091,13700.50748,19571.67177,18252.94577,17151.0375,16500.0098,18178.08358,15195.58502,15420.11899,15792.00749,16247.41406,16713.40382,17240.82257,17706.67627,17968.12434,17959.72177
DHS,Western Asia,IRQ,Anbar,1,1,55,10075,10309.16979,10543.32431,10489.46009,10728.79219,11439.39515,11084.09367,11996.37239,12875.90151,13430.65833,13490.4321,16230.33407,13165.22027,12288.72492,11555.47204,11099.69198,10793.18167,10647.61444,10627.68854,10691.2269,10800.90505
DHS,Western Asia,IRQ,Anbar,1,1,60,6212,6958.933578,7705.461381,8125.571594,8470.307874,8692.515051,8581.411463,9505.790925,8913.082136,8620.615656,8729.018351,10960.24948,10459.75941,11233.9018,11689.56177,11673.80155,11233.44947,10496.26256,9657.606541,8945.616033,8456.963704
DHS,Western Asia,IRQ,Anbar,1,1,65,5852,6529.820392,7207.555486,7539.012514,7903.903868,8307.790692,8105.84728,6551.499849,6505.523422,6392.613341,6196.017754,5942.283758,5777.735891,5403.184968,5219.989587,5273.635678,5453.726799,5793.08043,6124.836788,6259.58743,6133.889913
DHS,Western Asia,IRQ,Anbar,1,1,70,4662,4692.091633,4721.688002,4957.305626,5205.002248,5459.114092,5332.05817,4022.488262,3955.178514,3905.818123,3878.769775,3715.81567,4531.206886,4494.537901,4400.77148,4235.092657,3968.868423,3644.75413,3353.360035,3194.930806,3191.28043
DHS,Western Asia,IRQ,Anbar,1,1,75,3173,3992.728343,4812.175762,4957.834855,5133.501903,5345.417969,5239.459936,1161.742549,1142.680242,1124.388145,1107.505136,2111.446125,2432.008779,2383.661284,2342.484181,2308.857118,2265.909874,2230.498424,2183.201844,2100.152205,1979.11217
DHS,Western Asia,IRQ,Anbar,1,1,80,3791,3778.038836,3764.999592,3863.60647,3895.770735,3860.279998,3878.025366,1039.422716,1009.919188,967.210877,914.0564561,2899.009209,2258.927025,2217.267439,2142.155166,2037.344153,2051.595191,2025.686203,1964.800289,1876.8074,1767.851691
DHS,Western Asia,IRQ,Babylon,2,2,1,19248,21671.36003,24095.19809,25138.36697,26292.47663,27675.02539,26983.75101,30010.44896,30572.69191,31132.85113,31619.79691,28155.32027,30413.39257,30477.31418,30415.41074,30213.14696,29930.03878,29523.72651,29050.10568,28579.56603,28157.01146
DHS,Western Asia,IRQ,Babylon,2,2,10,75146,77011.92472,78877.69195,83565.12308,88452.50027,93610.78305,91031.64166,111430.2377,112182.0625,112909.2332,113463.4798,111516.2768,111181.8536,110924.7035,110676.2847,110581.5854,110692.5506,110931.0153,111209.0422,111416.1682,111489.4638
DHS,Western Asia,IRQ,Babylon,2,2,15,65978,67832.04945,69686.37992,73971.5153,78386.09378,82856.13413,80621.11395,99060.18573,98814.81356,98896.05149,99396.35914,94473.57093,94396.00391,95452.70503,96172.07612,96385.72893,96149.8344,95532.20836,94721.33502,93988.06406,93479.50269
DHS,Western Asia,IRQ,Babylon,2,2,20,63592,66604.02219,69616.50097,73614.01539,77731.26433,82025.1,79878.18217,84606.05011,84397.84149,84309.4221,84376.50772,77723.75972,77537.03783,78059.2133,78545.38872,78961.86148,79201.7422,79433.36609,79552.24951,79417.47546,78971.17912
DHS,Western Asia,IRQ,Babylon,2,2,25,46417,51542.05893,56667.35597,60548.37553,64412.70749,68190.98631,66301.8469,70115.74154,69557.94041,69088.13589,68833.75428,62277.69078,66097.40071,66743.5066,67311.91437,67699.52998,67769.40924,67682.3109,67489.92564,67274.7482,67078.46963
